CSA,indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,20ze
Beechfield/Ten Hills/West Hills,vacant,0.28,0.41,0.750208,0.416782,0.609081,0.885936,0.775838,0.970067,1.025499,0.775623,0.554017,
Beechfield/Ten Hills/West Hills,vio,2.0,3.076923,1.278133,1.444846,,1.828761,4.183984,2.743902,3.159645,1.274238,0.831025,
Beechfield/Ten Hills/West Hills,viol,8.398565,7.175473,7.012394,6.441618,6.93085,7.909328,8.398565,11.007828,12.312459,8.969341,9.621657,
Belair-Edison,Hhsi,,,,,,,,,,,,2.9
Belair-Edison,affordm,40.37212,43.216507,40.37212,41.058232,42.6693,41.734417,38.767174,40.08249,42.314583,35.164835,,
Belair-Edison,affordr,60.559361,65.339578,44.536196,41.058232,71.5012,69.876325,68.039136,68.141593,65.095442,60.017652,,
Belair-Edison,age18_,20.188333,,,,,21.526154,22.741916,22.807825,22.895191,20.536689,,
Belair-Edison,age24_,10.91525,,,,,8.923077,8.805632,8.406214,8.636541,9.038671,,
Belair-Edison,age5_,6.930409,,,,,6.504615,5.846558,5.420023,6.157018,6.625294,,
Belair-Edison,age64_,54.019293,,,,,54.652308,53.913614,54.453395,53.780576,54.266506,,
Belair-Edison,age65_,7.95,,,,,8.393846,8.69228,8.912543,8.530674,9.532839,,
Belair-Edison,baltvac,,0.934579,0.0,0.0,,,,1.271186,1.310044,1.851852,0.0,
Belair-Edison,constper,,0.0,0.317864,0.0,0.317662,0.0,0.0,0.0,0.0,0.0,0.0,
Belair-Edison,crime,50.298576,57.073955,52.652733,57.361047,56.6146,52.537896,52.76757,61.897106,53.226918,49.896647,38.068443,
Belair-Edison,dom,94.0,66.0,46.0,38.5,39.0,34.0,32.0,28.0,29.0,27.0,20.5,
Belair-Edison,domvio,51.102435,57.762977,60.863574,,,,,,,,,
Belair-Edison,fam,40.589569,,,,,34.629692,36.773649,38.270181,38.022876,34.56605,,
Belair-Edison,female,9525.0,,,,,,,,,,,
Belair-Edison,femhhs,63.727055,,,,,74.121094,74.919614,77.529057,75.504942,72.0,,
Belair-Edison,fore,3.15,1.73,2.28862,4.654488,3.06544,3.208386,2.573471,2.287893,1.684144,1.557533,0.44501,
Belair-Edison,hh25inc,25.14,25.0476,26.343985,28.448113,32.731,34.950964,34.003378,34.102142,32.957516,28.102615,,
Belair-Edison,hh40inc,22.66,20.690124,17.846183,17.797911,18.5476,16.993575,15.625,16.276771,15.277778,15.925371,,
Belair-Edison,hh60inc,21.52,17.964842,19.515341,19.057309,17.5077,17.906662,20.675676,20.065898,19.428105,19.223721,,
Belair-Edison,hh75inc,9.81,15.492766,14.653826,11.183172,9.39311,7.592154,6.689189,8.105437,8.643791,8.978844,,
Belair-Edison,hhchpov,,,,,36.92908,36.882547,36.126984,34.555625,39.735752,41.03885,,
Belair-Edison,hhm75,20.87,20.804669,21.640666,23.513496,21.82,22.556645,23.006757,21.449753,23.69281,27.769449,,
Belair-Edison,hhpov,,,,,,18.612071,19.592153,20.274577,22.831945,22.525597,,
Belair-Edison,hhs,6174.0,,,,,,,,,6003.0,,
Belair-Edison,juvarr,,43.402017,75.405524,44.278825,30.688295,24.112231,,,,,,
Belair-Edison,juvdrug,,12.713722,23.235423,8.768084,4.822446,0.876808,,,,,,
Belair-Edison,juvviol,,15.344147,15.344147,8.768084,6.576063,9.206488,,,,,,
Belair-Edison,male,7891.0,,,,,,,,,,,
Belair-Edison,mhhi,42920.83,45149.37251,46743.281847,43903.901338,38905.924198,38173.968254,40482.359649,39624.482085,42633.619512,46703.93468,,
Belair-Edison,ownroc,67.0,64.8,64.51049,63.478952,61.562897,61.562897,58.617951,58.071179,58.071179,54.227591,54.227591,
Belair-Edison,p2more,1.148369,,,,,0.947692,2.201408,1.697353,2.10063,1.936448,2.751077,
Belair-Edison,paa,86.891364,,,,,88.695385,85.323947,85.650173,85.329024,83.997012,86.211468,
Belair-Edison,pasi,0.52825,,,,,0.547692,0.536929,0.56962,0.234022,0.258576,0.464037,
Belair-Edison,phisp,1.223013,,,,,0.744615,1.36022,,1.515574,1.614664,2.147829,
Belair-Edison,phsip,,,,,,,,1.242808,,,,
Belair-Edison,ppac,0.275609,,,,,0.215385,0.686076,0.811277,0.807934,1.361834,0.58999,
Belair-Edison,prop,,43.006431,37.723932,43.293523,45.418,39.389068,36.920073,41.513551,38.011024,34.106569,24.288011,
Belair-Edison,pwhite,9.933395,,,,,8.849231,9.891421,10.028769,10.012816,10.831466,7.835598,
Belair-Edison,racdiv,24.608122,,,,,21.468088,27.83038,27.255998,28.114833,30.051435,,
Belair-Edison,reosa,,41.13,23.188406,6.451613,3.482587,2.702703,3.813559,2.898551,23.794212,16.271186,9.448819,
Belair-Edison,resrehab,1.35,1.91,1.764145,1.509134,1.905972,1.731258,1.763304,3.050524,2.732761,2.894243,3.305785,
Belair-Edison,salepr,56000.0,44000.0,60000.0,45100.0,41975.0,42000.0,45550.0,59075.0,79900.0,89758.0,,
Belair-Edison,shomes,153.0,127.0,132.0,117.0,184.0,161.0,222.0,208.0,345.0,432.0,,
Belair-Edison,shoot,,1.49288,2.181902,,,2.009646,2.698668,3.502526,2.928342,3.502526,2.813505,
Belair-Edison,totalres,6295.0,6296.0,6292.0,6295.0,6296.0,6296.0,6295.0,6294.0,6294.0,6292.0,6292.0,
Belair-Edison,tpop,17416.0,,,,,,,,,,15085.0,
Belair-Edison,vacant,1.45,1.67,2.002543,2.5417,2.731893,3.049555,2.811755,3.749603,3.638386,3.432931,3.337572,
Belair-Edison,vio,2.22,3.17662,2.638271,2.509929,,1.302621,3.065925,5.322529,4.210359,2.717737,2.304514,
Belair-Edison,viol,13.263666,14.067524,14.928801,12.34497,10.1631,11.770785,14.813964,19.292605,15.215893,15.790078,13.780432,
Brooklyn/Curtis Bay/Hawkins Point,Hhsi,,,,,,,,,,,,2.61
Brooklyn/Curtis Bay/Hawkins Point,affordm,43.667158,42.071882,43.667158,36.145511,33.0502,32.855939,29.533679,23.497268,28.087986,33.486661,,
Brooklyn/Curtis Bay/Hawkins Point,affordr,48.62108,51.615219,38.751926,36.145511,53.0124,56.597434,50.67377,51.493599,52.462772,47.691748,,
Brooklyn/Curtis Bay/Hawkins Point,age18_,18.163308,,,,,17.35266,17.512287,16.093023,17.044817,19.500975,,
Brooklyn/Curtis Bay/Hawkins Point,age24_,11.058064,,,,,10.091618,9.381324,8.248062,7.728694,6.939571,,
Brooklyn/Curtis Bay/Hawkins Point,age5_,10.222565,,,,,9.838644,9.952298,10.906977,8.506374,7.329435,,
Brooklyn/Curtis Bay/Hawkins Point,age64_,53.478902,,,,,56.413237,57.357618,57.449612,59.272028,57.395711,,
Brooklyn/Curtis Bay/Hawkins Point,age65_,7.08,,,,,6.303842,5.796473,7.302326,7.448088,8.834308,,
Brooklyn/Curtis Bay/Hawkins Point,baltvac,,2.673797,3.773585,3.87931,,,,0.666667,0.900901,0.294118,1.15942,
Brooklyn/Curtis Bay/Hawkins Point,constper,,0.47,0.469925,0.469925,0.235349,0.0,0.0,0.235018,0.0,0.0,0.0,
