CSA,indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,20_1
Brooklyn/Curtis Bay/Hawkins Point,hcvhouse,,,,,54.510679,55.589493,66.123472,66.500711,62.61932,55.979644,,
Brooklyn/Curtis Bay/Hawkins Point,heatgas,,72.202616,70.105557,68.215686,66.0606,63.747007,62.988362,61.384581,62.709145,65.471244,,
Brooklyn/Curtis Bay/Hawkins Point,hfai,,,8.588235,,,8.793103,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,kra,,,,,,,30.150754,28.723404,,,,
Brooklyn/Curtis Bay/Hawkins Point,nohhint,,,,,,,,34.142504,31.927573,34.659961,,
Brooklyn/Curtis Bay/Hawkins Point,novhcl,,34.170646,33.817965,33.333333,30.8687,32.122905,30.174564,33.131041,31.469173,34.616226,,
Brooklyn/Curtis Bay/Hawkins Point,numbus,329.0,414.0,317.0,528.0,454.0,457.0,400.0,343.0,358.0,345.0,,
Brooklyn/Curtis Bay/Hawkins Point,palg1,,,,,,7.76699,8.77193,9.81595,,,,
Brooklyn/Curtis Bay/Hawkins Point,palg2,,,,,,11.5385,2.32558,2.66667,,,,
Brooklyn/Curtis Bay/Hawkins Point,pmath3,,,,,,11.2676,7.28745,11.1607,,,,
Brooklyn/Curtis Bay/Hawkins Point,pmath5,,,,,,9.67742,10.7595,6.91489,,,,
Brooklyn/Curtis Bay/Hawkins Point,pmath8,,,,,,5.30303,9.92366,4.8951,,,,
Brooklyn/Curtis Bay/Hawkins Point,prbprl,,,,8.647059,,,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,pread3,,,,,,7.58294,4.04858,4.91071,,,,
Brooklyn/Curtis Bay/Hawkins Point,pread5,,,,,,11.6129,5.0,14.2857,,,,
Brooklyn/Curtis Bay/Hawkins Point,pread8,,,,,,8.69565,11.8519,14.2857,,,,
Brooklyn/Curtis Bay/Hawkins Point,pubtran,,16.413023,20.679012,21.808611,19.693,21.505959,21.21158,21.31881,19.740576,22.756139,,
Brooklyn/Curtis Bay/Hawkins Point,regvote,53.568627,,53.313725,,55.568627,,57.715684,,58.480392,,,
Brooklyn/Curtis Bay/Hawkins Point,smlbus,297.0,386.0,291.0,493.0,421.0,423.0,364.0,312.0,326.0,318.0,,
Brooklyn/Curtis Bay/Hawkins Point,trees,,14.459935,,,,,,14.631858,,,,
Brooklyn/Curtis Bay/Hawkins Point,voted,30.1,,28.343137,,23.676782,,26.117647,,27.979883,,,
Brooklyn/Curtis Bay/Hawkins Point,walked,,3.313427,3.549383,4.831735,4.32422,4.29758,3.663331,3.404007,2.310499,1.778154,,
Brooklyn/Curtis Bay/Hawkins Point,wlksc,,17.683616,,,,,,19.737,,,,
