CSA,indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belair-Edison,nilf,26.701127,31.042564,25.794518,26.214354,30.1363,33.700583,35.091187,35.782943,36.254135,35.504858,
Belair-Edison,overd,,,,,,,,,3.158016,2.98576,3.043179
Belair-Edison,prenatal,63.934426,63.346614,63.157895,44.927536,45.762712,49.361702,40.512821,63.636364,65.656566,60.106383,
Belair-Edison,publart,,,,,,1.205788,1.205788,1.205788,1.205788,1.148369,1.148369
Belair-Edison,read3,69.811321,67.69,62.15,57.727273,52.12766,,,,,,
Belair-Edison,read5,79.047619,69.82,76.39,70.92511,72.864322,,,,,,
Belair-Edison,read8,57.295374,65.57,57.54,60.792952,48.41629,,,,,,
Belair-Edison,ready,,68.98,57.6,75.313808,,,,,,,
Belair-Edison,sclemp,79.624413,78.75,78.549223,80.275229,84.598698,87.168611,93.727599,92.782427,81.973094,79.332616,
Belair-Edison,sclsw,,7.205514,7.59987,7.852349,7.993874,8.447126,7.3642,,,5.719361,4.894134
Belair-Edison,sped,16.002328,16.666667,17.37,16.465034,,,,,,,
Belair-Edison,susp,9.505847,10.035726,9.848982,9.832215,,,,,,,
Belair-Edison,tanf,,10.091954,11.126437,10.091954,10.0767,9.563218,8.344828,6.321839,6.390805,7.977011,
Belair-Edison,teenbir,67.567568,56.756757,58.108108,33.783784,45.945946,28.378378,27.027027,21.621622,22.972973,27.027027,
Belair-Edison,termbir,84.016393,82.47012,81.954887,84.057971,86.016949,85.957447,80.0,79.679144,81.313131,81.914894,
Belair-Edison,unempl,11.795611,10.591971,12.006053,11.912444,11.7107,10.850847,10.151828,9.594547,8.974468,6.705413,
Belair-Edison,unempr,16.092486,15.422721,16.262385,16.196348,16.7772,13.95072,15.640138,14.940808,14.07851,10.396772,
Belair-Edison,wstud,1.251091,1.52,1.38,1.42,1.54,1.38,1.79,2.283282,,2.948403,3.002028
Brooklyn/Curtis Bay/Hawkins Point,Fastfd,,0.772309,,0.912729,,,,,0.772309,,
Brooklyn/Curtis Bay/Hawkins Point,aastud,58.92241,58.32,58.23,55.76,56.85,54.59,51.4,50.531237,,49.081953,45.123023
Brooklyn/Curtis Bay/Hawkins Point,abse,19.58457,19.762123,20.0602,19.1429,23.6031,23.0838,25.7983,21.947326,,29.805014,
Brooklyn/Curtis Bay/Hawkins Point,abshs,36.26016,46.927374,48.1884,39.3064,46.4762,43.144424,43.518519,55.746141,,58.684654,
Brooklyn/Curtis Bay/Hawkins Point,absmd,21.33333,24.532225,24.0084,25.3906,27.459,25.9036,25.4065,29.980658,,32.85968,
Brooklyn/Curtis Bay/Hawkins Point,artevnt,,,,,0.35105,0.28084,0.07021,0.21063,0.21063,0.28084,0.07021
Brooklyn/Curtis Bay/Hawkins Point,bahigher,,6.353883,6.350646,6.090481,5.86,6.562738,6.363012,8.42811,9.012257,9.52437,
Brooklyn/Curtis Bay/Hawkins Point,birthwt,89.88764,86.715867,91.353383,86.330935,85.042735,79.225352,87.671233,89.74359,84.126984,89.270386,
Brooklyn/Curtis Bay/Hawkins Point,caracc,,39.879239,39.598399,,,69.367409,83.268974,78.14365,78.07344,63.750614,60.099698
Brooklyn/Curtis Bay/Hawkins Point,caslt,,158.463807,144.632451,,,132.415924,145.19413,140.490065,109.036018,96.187601,81.794566
Brooklyn/Curtis Bay/Hawkins Point,compl,78.46154,75.38,70.5036,74.78261,78.0,69.411765,74.747475,78.448276,,72.44898,69.298246
Brooklyn/Curtis Bay/Hawkins Point,drop,5.203252,3.538175,4.753521,5.009634,3.428571,8.226691,5.0,4.974271,,6.23946,4.682274
Brooklyn/Curtis Bay/Hawkins Point,ebll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brooklyn/Curtis Bay/Hawkins Point,empl,40.475,53.279496,56.608612,54.641776,54.8204,54.879141,58.471552,59.382857,58.224452,55.756792,
Brooklyn/Curtis Bay/Hawkins Point,farms,85.775862,88.49,78.45,90.458937,,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,fastfd,,,,,,,,,,0.77,
Brooklyn/Curtis Bay/Hawkins Point,gunhom,,0.28084,0.21063,0.14042,0.21063,0.702099,0.702099,0.842519,0.631889,0.35105,0.912729
Brooklyn/Curtis Bay/Hawkins Point,hsaalg,30.496454,25.480769,21.26,28.834356,36.0,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,hsabio,45.360825,37.681159,46.15,46.153846,63.114754,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,hsaeng,39.204545,36.781609,30.91,38.461538,52.777778,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,hsagov,55.625,48.351648,,58.974359,58.558559,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,hsattend,615.0,537.0,552.0,519.0,525.0,547.0,540.0,583.0,,593.0,598.0
Brooklyn/Curtis Bay/Hawkins Point,hstud,6.551724,8.3,9.54,11.92,12.38,15.6899,18.9019,20.909477,,27.227944,33.523726
Brooklyn/Curtis Bay/Hawkins Point,lesshs,,34.086364,34.157405,34.844999,34.62,29.881173,26.642252,27.570933,25.42658,27.08971,
Brooklyn/Curtis Bay/Hawkins Point,libcard,,229.726883,195.464439,187.109457,307.589693,352.383627,296.145475,272.344309,269.255073,254.370568,
Brooklyn/Curtis Bay/Hawkins Point,lifexp,,69.687714,69.516882,69.481101,69.28752,69.659039,69.695664,69.2,69.491789,,
Brooklyn/Curtis Bay/Hawkins Point,liquor,,1.474408,1.404199,1.263779,1.263779,1.263779,1.123359,1.19357,1.193569,1.123359,
Brooklyn/Curtis Bay/Hawkins Point,math3,82.352941,75.94,77.96,68.852459,53.284672,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,math5,70.779221,60.87,63.09,60.248447,31.90184,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,math8,32.5,26.5,38.05,26.056338,24.0,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,mort1_,,7.724719,7.902299,10.204082,9.878419,9.002251,9.601182,11.021308,10.486891,,
Brooklyn/Curtis Bay/Hawkins Point,narc,,101.102296,85.024222,,,70.490767,88.464509,127.360809,137.611458,142.736783,120.971705
Brooklyn/Curtis Bay/Hawkins Point,nilf,32.393074,36.852472,29.287317,30.655903,29.2059,31.015617,29.687172,31.862857,34.134391,36.140186,
Brooklyn/Curtis Bay/Hawkins Point,overd,,,,,,,,,14.603665,14.252615,11.725058
Brooklyn/Curtis Bay/Hawkins Point,prenatal,50.93633,47.232472,49.62406,43.884892,39.74359,43.661972,46.575342,61.172161,59.126984,51.502146,
Brooklyn/Curtis Bay/Hawkins Point,publart,,,,,,0.491469,0.491469,0.491469,0.491469,0.491469,0.491469
Brooklyn/Curtis Bay/Hawkins Point,read3,74.509804,69.19,63.24,62.011173,53.956835,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,read5,81.168831,74.03,72.48,64.814815,68.944099,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,read8,56.25,68.1,62.83,60.283688,46.979866,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,ready,,42.93,84.23,70.850202,,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,sclemp,87.334594,87.407407,91.862568,85.398981,87.439614,74.261084,76.534789,70.936639,66.315789,59.344262,
Brooklyn/Curtis Bay/Hawkins Point,sclsw,,6.20559,7.9551,8.313311,8.73113,7.633295,10.621062,,,5.656109,4.346197
Brooklyn/Curtis Bay/Hawkins Point,sped,20.301724,18.514104,18.6,18.1562,,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,susp,7.954545,8.15,9.23913,11.388755,,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,tanf,,13.821637,14.832976,14.771683,12.9401,11.890898,12.044131,9.40852,8.918173,10.940852,
Brooklyn/Curtis Bay/Hawkins Point,teenbir,111.111111,94.562648,63.829787,52.009456,49.64539,54.373522,89.834515,68.55792,70.921986,61.465721,
Brooklyn/Curtis Bay/Hawkins Point,termbir,83.146067,82.287823,84.962406,87.05036,81.196581,81.338028,88.013699,86.813187,84.126984,83.690987,
Brooklyn/Curtis Bay/Hawkins Point,unempl,8.061002,9.828639,14.488727,14.702321,15.9737,14.105242,11.935755,8.754286,7.641157,8.103022,
Brooklyn/Curtis Bay/Hawkins Point,unempr,11.923338,15.574282,20.489574,21.201979,22.5636,17.747184,16.975216,12.848038,11.601134,12.688766,
Brooklyn/Curtis Bay/Hawkins Point,wstud,31.12069,31.62,30.21,30.31,28.67,27.55,27.63,26.264343,,24.048365,21.836555
Canton,Fastfd,,1.111111,,1.234568,,,,,1.604938,,
Canton,aastud,19.57672,17.24,19.1,16.4,20.75,18.93,15.52,14.814815,,13.72549,12.765957
Canton,abse,7.777778,6.578947,6.7416,5.9524,5.1546,3.7383,7.0796,2.830189,,2.061856,
Canton,abshs,22.44898,29.72973,20.0,34.4828,34.4828,31.034483,20.0,38.095238,,27.777778,
Canton,absmd,21.875,13.513514,13.1579,12.8205,12.1212,0.0,12.1951,11.428571,,5.263158,
Canton,artevnt,,,,,3.45679,6.666667,6.91358,7.777778,10.0,9.382716,4.691358
Canton,bahigher,,60.739128,61.194517,63.657301,63.7,67.431124,69.32128,70.176421,71.190306,75.163581,
Canton,birthwt,94.594595,97.619048,92.913386,95.454545,92.0,93.859649,96.0,96.747967,95.16129,95.348837,
Canton,caracc,,32.839506,34.567901,,,57.283951,56.91358,56.666667,49.012346,38.148148,33.950617
Canton,caslt,,46.17284,44.320988,,,29.135802,28.395062,31.604938,26.17284,25.432099,20.0
Canton,compl,75.0,66.67,100.0,80.0,80.0,75.0,80.0,50.0,,33.333333,
Canton,drop,4.081633,8.108108,0.0,0.0,3.448276,10.344828,0.0,9.52381,,5.555556,
Canton,ebll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Canton,empl,76.5,74.857657,84.616681,83.65532,84.7887,85.914848,88.129983,87.289885,88.519362,88.072847,
Canton,farms,73.544974,70.99,61.81,67.724868,,,,,,,
Canton,fastfd,,,,,,,,,,1.6,
Canton,gunhom,,0.0,0.0,0.0,,0.0,0.0,0.123457,0.0,0.0,0.0
Canton,hsaalg,39.285714,42.857143,37.5,42.857143,50.0,,,,,,
Canton,hsabio,50.0,25.0,78.57,37.5,60.0,,,,,,
Canton,hsaeng,42.857143,30.769231,55.56,60.0,50.0,,,,,,
Canton,hsagov,18.181818,63.636364,,25.0,100.0,,,,,,
Canton,hsattend,49.0,37.0,30.0,29.0,29.0,29.0,20.0,21.0,,18.0,15.0
Canton,hstud,17.46032,18.97,21.11,25.4,23.9,25.4438,28.1609,24.074074,,20.261438,17.730496
Canton,lesshs,,8.973695,8.616188,7.354522,5.56,4.363366,4.290429,4.172501,4.148254,4.580259,
Canton,libcard,,267.777778,235.308642,169.382716,284.320988,299.753086,284.938272,269.259259,288.518519,309.259259,
Canton,lifexp,,77.007755,77.433271,77.316978,78.394324,78.417078,79.261807,79.8,80.788522,,
Canton,liquor,,4.567901,4.938272,4.320988,4.074074,4.444444,4.444444,4.07407,4.074074,4.074074,
Canton,math3,100.0,75.0,88.89,80.0,86.666667,,,,,,
Canton,math5,81.818182,50.0,76.92,83.333333,76.190476,,,,,,
Canton,math8,77.777778,66.67,45.45,60.0,61.538462,,,,,,
Canton,mort1_,,5.660377,1.795332,1.757469,0.0,3.225806,4.792332,4.823151,7.861635,,
Canton,narc,,3.950617,3.703704,,,5.432099,5.432099,5.185185,4.074074,2.716049,2.345679
Canton,nilf,11.091672,22.14564,12.047178,12.34284,10.9695,11.155196,9.658493,10.026541,9.202733,9.329751,
Canton,overd,,,,,,,,,1.234568,2.469136,1.728395
Canton,prenatal,73.873874,79.365079,79.527559,66.363636,68.666667,81.578947,79.2,82.926829,87.096774,85.271318,
Canton,publart,,,,,,1.234568,1.234568,1.234568,1.234568,1.111111,1.111111
Canton,read3,90.0,83.33,77.78,80.0,70.0,,,,,,
Canton,read5,100.0,71.43,92.31,83.333333,90.0,,,,,,
Canton,read8,88.888889,75.0,72.73,80.0,83.333333,,,,,,
Canton,ready,,84.21,45.45,96.0,,,,,,,
Canton,sclemp,92.028986,91.666667,92.105263,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
